customer_id,avg_transaction_value
C03555,2304.83
C11247,1612.22
C15613,2368.69
C07304,1467.16
C07604,925.75
C09867,2986.62
C18881,1809.12
C17128,2295.33
C13883,2958.74
C10351,1475.51
C14072,4213.29
C12520,2527.18
C13182,1774.69
C10857,2307.39
C08214,2934.35
C10697,2075.95
C05310,2096.82
C09669,3635.33
C04113,1979.68
C02509,1720.81
C02655,2699.58
C14355,1158.14
C08001,2936.26
C07627,3165.98
C09892,2603.80
C17074,1667.35
C04682,819.90
C10385,2428.39
C14798,1867.14
C04797,2068.91
C15270,1940.67
C07813,1586.94
C10937,2398.78
C17893,1641.09
C06454,1962.50
C06136,4055.70
C00057,2838.60
C07318,1754.50
C06202,1006.84
C03137,2326.59
C12966,2967.30
C07245,3420.41
C16828,2128.41
C12866,3147.24
C13744,1855.85
C18900,1650.84
C10049,1658.75
C12573,3151.10
C00006,648.58
C12234,2010.59
C16117,1791.12
C06052,1938.77
C10206,2456.48
C19975,1868.55
C02366,2623.37
C10116,2973.57
C12087,2805.70
C02001,3534.20
C02882,3532.17
C19888,3246.28
C02288,2148.25
C04578,706.32
C16880,1206.83
C01621,2678.94
C19927,2105.24
C05707,2220.68
C01047,1411.68
C18820,1701.88
C09357,1806.05
C00855,3615.95
C06650,1634.19
C10401,2361.61
C03533,2231.73
C12618,1285.22
C15481,1413.98
C19606,2523.25
C17974,2476.59
C14708,2400.78
C16602,2646.54
C12949,2021.20
C10328,2709.52
C06100,984.46
C00827,1241.37
C11175,1350.11
C12029,2474.62
C15077,3259.31
C18350,2398.23
C06802,2414.05
C13330,1744.90
C18357,2982.09
C01278,1102.60
C19703,3684.74
C00195,4100.10
C14699,1850.51
C18907,2283.30
C06805,1650.36
C07731,3351.30
C16238,2397.36
C06846,1973.16
C16702,1094.23
C03131,2468.81
C04670,1784.57
C19482,1716.19
C19132,889.10
C19821,661.20
C04240,2828.07
C02658,3317.25
C06996,2242.98
C06016,2735.67
C16074,1131.36
C11723,2229.14
C19105,2531.49
C10612,1691.50
C02642,1523.85
C08979,1535.64
C14059,3479.64
C03680,2037.89
C11574,2174.73
C17430,3014.94
C12295,3739.29
C18127,3163.41
C07398,2608.59
C15699,3269.67
C05153,3339.64
C07572,2177.61
C05227,1666.64
C18051,2678.31
C19519,1319.20
C04660,2215.51
C02018,1840.99
C17317,2014.90
C04912,2339.75
C17743,3489.64
C16423,2703.27
C17868,2859.40
C02060,2953.43
C09574,4635.78
C14627,2936.20
C11668,908.08
C08076,3220.34
C13089,3710.36
C19971,1949.90
C12656,2497.19
C16455,1037.98
C13248,2082.71
C01466,2440.36
C00716,1458.41
C13405,3546.28
C07495,1652.99
C12476,2046.81
C11461,2841.78
C17379,2651.14
C10269,3173.53
C03486,1909.55
C09223,2108.03
C11506,3161.57
C05890,3055.42
C00572,2166.69
C17261,2831.80
C17223,1895.77
C02058,1923.43
C13374,3085.72
C17732,1967.12
C10173,393.48
C06123,1776.68
C18281,2116.44
C10695,2495.01
C19785,2906.35
C10131,1758.11
C13836,1811.00
C02621,1482.70
C12720,2411.68
C13996,2404.12
C07096,2389.73
C01149,2252.92
C02902,938.28
C02473,2704.06
C05960,1426.20
C06074,2597.73
C08670,3094.42
C06367,3629.97
C18990,1919.98
C03291,2681.58
C09139,2193.66
C14874,2620.88
C01158,1036.14
C11988,2676.32
C06270,1491.21
C08912,4042.62
C00721,3237.58
C05157,1617.21
C14716,2205.68
C12607,2597.53
C03601,1602.59
C10721,1317.52
C07330,3415.59
C13576,2784.47
C01633,2611.64
C17267,1205.06
C04139,2966.09
C08887,1569.62
C18199,1908.08
C15881,2238.67
C03722,3356.40
C11507,4213.91
C16527,1869.17
C17687,4049.87
C01358,2883.12
C04316,1534.41
C19669,1646.33
C03578,2095.84
C08802,2117.95
C01932,2272.94
C19298,2242.05
C14144,2037.86
C16892,2465.95
C15284,2659.31
C04077,1702.45
C14809,1452.35
C17997,2442.86
C06448,2297.78
C16709,1047.99
C07231,1447.04
C09789,901.29
C03962,2563.46
C12042,3666.23
C17086,2268.85
C19365,1700.05
C00733,3454.93
C07242,1845.81
C18963,2118.12
C08667,1969.66
C09560,1711.34
C05336,1973.79
C14122,4421.91
C14057,2638.37
C00626,3067.32
C17592,2708.47
C19777,3078.12
C04683,2928.22
C12038,3003.97
C19856,2536.97
C11237,2254.79
C17091,1158.48
C16434,2233.50
C05276,1324.63
C12182,2554.60
C04818,3427.36
C09696,2860.84
C17634,2318.65
C05675,1357.73
C10961,2179.79
C17992,2433.87
C04969,1333.16
C01703,2180.45
C07383,2379.96
C11728,3032.45
C17034,2925.73
C14543,2206.76
C08723,2665.07
C00778,2308.06
C17777,820.95
C12480,1652.92
C17340,1093.40
C00061,2347.88
C19987,2492.48
C01852,1708.59
C18668,1081.78
C06894,1879.01
C19530,3127.96
C07593,2889.02
C12121,2659.73
C01423,2466.33
C19137,1720.11
C14476,2318.13
C00932,2293.12
C15067,2420.58
C10207,3876.01
C14808,1481.35
C05087,1774.28
C16904,3086.98
C04736,1884.43
C05097,1329.68
C14737,1701.30
C00075,2221.83
C02913,1872.92
C10809,787.81
C02106,2518.76
C09759,3573.56
C16101,2794.40
C03232,2925.38
C00244,2318.14
C19792,1016.53
C06098,3045.13
C10410,3234.21
C18068,2530.73
C09781,2692.98
C15574,4172.36
C07768,3414.56
C16219,838.88
C17502,2932.41
C16563,2517.73
C10051,3762.59
C18257,2505.75
C02181,1884.40
C14876,1225.01
C14275,2985.39
C06366,2034.29
C16594,1932.21
C01824,1217.97
C08497,3902.54
C07858,2327.97
C01545,2774.67
C12353,2752.30
C17429,1145.62
C06677,2350.16
C11824,1642.11
C02524,1270.83
C13615,1557.69
C16746,1096.69
C03912,2187.82
C16255,3292.38
C12388,3690.04
C05392,1973.65
C13921,2046.24
C13926,2821.94
C05974,2295.73
C12896,1025.68
C14645,2973.87
C06756,1792.88
C03613,2691.63
C07210,2177.85
C18964,4477.54
C13249,2194.52
C09151,2135.63
C03843,2198.19
C18141,1801.56
C08732,807.94
C09079,2605.65
C03177,2009.64
C05198,2239.49
C09715,2984.74
C04191,1943.81
C08185,1565.13
C12674,3230.31
C00196,1997.38
C13300,1762.01
C15783,1915.80
C00717,720.62
C01519,2803.05
C15145,2539.92
C10472,2675.94
C01183,2639.58
C18285,1631.61
C04018,3834.66
C10886,3694.59
C17166,2690.04
C00980,1454.40
C12248,3704.06
C13110,1348.03
C02488,2164.87
C15564,446.02
C02740,1200.40
C13342,1797.93
C07556,5711.80
C16055,2658.91
C04716,2144.87
C12779,2569.16
C09469,1139.15
C07295,2913.36
C14259,1294.08
C19793,2183.84
C01264,1991.52
C13200,1620.91
C09006,4861.62
C04667,2109.14
C09299,1682.62
C17842,1650.03
C11601,3979.25
C07513,1973.55
C03106,1898.25
C18492,2825.81
C16025,1475.70
C02946,1498.19
C02214,2059.94
C09513,2006.63
C06503,3827.17
C19036,2953.44
C18903,2185.27
C17241,3324.30
C03028,2297.03
C19358,3326.66
C17004,2391.17
C03614,4416.60
C00985,2695.58
C14761,2384.90
C19585,1957.22
C14965,3317.57
C01150,2144.08
C05385,3830.63
C00306,1608.53
C08548,1629.12
C14546,2277.99
C17835,1168.03
C07033,2347.71
C15036,1822.58
C17669,1905.10
C16469,2136.33
C12486,1903.22
C07843,2299.19
C18738,2666.03
C17229,1837.66
C03428,786.44
C18689,2542.72
C03413,2706.47
C01988,1216.78
C15477,2669.26
C04535,5747.65
C15112,1335.00
C13227,1469.60
C00951,1781.25
C14427,1831.39
C03196,955.52
C06298,2970.94
C18637,3389.64
C17100,1809.84
C14670,1950.18
C06936,3637.08
C17400,1862.50
C12306,1656.72
C02707,3772.12
C13016,2423.38
C15013,3023.09
C00174,2892.91
C16939,3131.57
C17120,1810.03
C07641,976.13
C15308,2160.04
C15882,1750.52
C01867,2494.32
C03365,2927.97
C15019,1828.73
C08880,2736.83
C16538,2453.28
C08483,1914.51
C07547,2338.91
C16458,3164.83
C15905,2927.11
C16518,2339.39
C19933,2677.96
C07747,2752.85
C07755,1881.20
C05518,3576.69
C11989,2937.50
C10095,2882.59
C05421,2452.84
C12023,3605.39
C14112,3228.30
C10905,2074.44
C03318,1162.39
C17653,819.30
C04958,3197.72
C10817,2714.85
C07072,2713.35
C10705,1791.55
C18755,3802.17
C08554,2240.42
C14428,2160.55
C17273,2690.98
C02817,1887.74
C06568,1572.22
C04988,3368.70
C19957,2282.95
C15443,2230.94
C14093,2112.53
C06892,2575.88
C01829,3448.08
C08597,1521.99
C09324,2633.52
C12379,3118.47
C01237,1957.41
C04840,2471.15
C12849,2488.50
C04209,3040.12
C04935,1509.74
C13419,2313.04
C18021,2664.56
C19025,2259.59
C06117,3962.48
C00156,3863.44
C01891,736.30
C17882,2832.29
C16363,1784.66
C11438,1327.19
C13964,3678.50
C15146,2120.79
C00311,3642.10
C19583,3500.47
C19330,1677.15
C09998,2889.69
C04111,1362.04
C18806,878.17
C06868,2959.77
C03116,1822.47
C15608,1896.05
C15102,1449.69
C01374,1900.57
C13853,2032.51
C12766,2483.38
C13892,3543.68
C03995,2702.69
C04410,3492.54
C02554,3734.66
C11576,2632.23
C06377,2716.95
C10454,3377.81
C01166,2450.55
C05255,2362.65
C11380,2273.28
C15603,2131.76
C03321,1714.19
C10187,2944.36
C15709,2107.91
C08064,1402.45
C16287,2365.62
C10231,2891.62
C15172,3566.28
C08110,2744.17
C15228,2462.84
C18682,504.88
C05756,2125.41
C13878,2051.16
C06452,3264.03
C12934,4134.15
C10310,3268.16
C07997,1730.88
C00439,2495.37
C10617,1572.02
C16664,2819.08
C19560,3837.41
C11773,2974.03
C18703,2302.49
C07736,1855.09
C17321,2148.20
C16116,1711.27
C10257,2190.79
C04334,1579.60
C16747,2417.42
C08369,2589.47
C02908,2486.97
C18171,1879.31
C02603,2816.62
C09578,3322.57
C17079,2167.09
C09928,1422.41
C10517,2063.45
C06704,2324.89
C02587,1723.84
C18901,2532.70
C05951,1452.35
C15515,2869.97
C09894,2329.14
C17332,2229.33
C11426,2346.68
C03987,1780.10
C08596,4813.50
C12916,2375.47
C01120,1693.81
C04863,2134.61
C18219,1451.83
C01439,3017.08
C04467,2579.25
C13897,2781.68
C14350,1568.02
C16248,2321.26
C12305,1859.17
C02727,1553.34
C15231,2268.91
C16856,2164.25
C19342,3159.62
C10294,1674.00
C18727,2171.58
C16397,1632.36
C02231,1408.33
C07598,972.64
C13638,996.54
C17536,845.79
C05448,2633.86
C04754,3314.16
C10874,2242.38
C17323,2830.40
C13334,3073.39
C11425,3984.29
C06324,1890.82
C09310,2298.34
C04470,3172.26
C13476,1609.43
C18288,2250.78
C01666,2047.13
C13582,3930.04
C06397,2547.35
C06141,2526.50
C09589,2701.31
C13707,2523.48
C09869,2148.38
C15878,3520.03
C05526,706.29
C11282,1747.64
C18260,3107.21
C13974,3557.26
C10670,2551.02
C07455,1497.24
C01853,1121.74
C09940,2343.32
C14854,2143.00
C18347,1773.36
C19442,2242.11
C17827,2258.81
C10492,2088.95
C11855,2515.36
C06799,1808.03
C15461,3795.83
C03244,1471.78
C00629,2832.19
C07817,2114.74
C10487,4988.18
C11801,907.46
C19509,2755.71
C13487,2734.58
C16280,2666.15
C07526,1710.50
C01233,1899.98
C08145,2410.15
C16796,2018.59
C15302,2886.35
C01947,1170.03
C16094,2427.22
C05341,1953.24
C15635,2736.50
C15914,2559.39
C08404,869.22
C07354,1657.86
C12207,3957.55
C02733,2719.85
C11800,2571.81
C18504,2524.51
C06578,1537.51
C00336,2765.25
C09175,2971.86
C03871,2020.72
C15846,2233.95
C13053,1664.58
C14141,320.30
C06673,462.81
C09293,1421.85
C10365,750.93
C02044,3794.97
C02761,1013.04
C12434,2445.27
C12614,2407.17
C17557,3606.41
C14495,2165.34
C09421,1846.48
C02986,2219.81
C01978,1883.42
C08480,3249.28
C10540,3147.42
C01302,2870.42
C07723,2643.58
C03101,2740.18
C16444,3831.14
C09876,2128.45
C11984,3479.29
C16377,2351.92
C12998,1583.41
C00619,2196.01
C09980,1042.09
C05060,1964.67
C13748,2771.97
C08933,1845.56
C17176,3966.79
C05982,2591.92
C11338,2565.73
C05968,2813.84
C05946,2436.77
C10900,2609.25
C19742,2304.35
C18977,2751.67
C18430,1831.20
C13804,2586.65
C08397,2534.24
C01060,2651.12
C00353,1796.79
C14945,2059.82
C00352,2830.91
C09496,1068.07
C14862,728.23
C19684,2972.94
C09430,1901.92
C13938,2165.30
C07633,1735.41
C14841,2455.52
C04432,2218.10
C08053,1705.82
C10713,924.27
C00664,959.01
C07416,2922.73
C11821,929.95
C16168,2208.45
C04542,1955.95
C17476,3705.00
C09364,2443.46
C01699,2703.60
C17714,2520.18
C13769,2079.42
C19657,2003.61
C19802,2048.40
C03676,2729.05
C06585,2370.22
C02103,1409.41
C12288,1277.67
C17483,1851.09
C08551,2646.05
C02003,1400.38
C03795,2682.48
C04940,2445.92
C18248,2077.20
C02144,2488.35
C04987,2191.40
C11041,1694.28
C15141,3643.91
C18972,3626.23
C02068,2002.91
C04580,2500.31
C18275,402.46
C02925,4926.12
C06456,3288.24
C07870,2547.10
C14781,2005.39
C07005,1645.67
C14746,1936.69
C03862,1094.40
C02203,3001.80
C05456,684.29
C02444,2019.25
C18756,2960.92
C12606,1954.63
C03148,2250.44
C06407,1773.30
C14239,1967.28
C06981,2198.78
C08578,3387.29
C00995,2734.24
C06853,4310.16
C19758,1711.21
C10595,1618.27
C03208,2902.60
C03154,2396.21
C00514,467.20
C19209,1500.24
C01185,1736.83
C09950,2619.48
C10944,2698.42
C00688,1520.34
C03269,2485.23
C00910,2762.43
C16356,1687.66
C03118,1526.60
C16751,2087.66
C05260,1938.97
C15079,2753.83
C02526,1342.48
C05721,1337.02
C08221,1824.62
C00504,1212.27
C10016,2696.46
C17167,2096.58
C18333,2111.69
C13800,2768.44
C09009,1552.53
C01321,2733.16
C12020,2951.42
C03854,2581.43
C05291,3315.53
C08930,2882.55
C02468,1123.34
C12676,2281.43
C09600,1848.88
C10166,3535.48
C07051,3999.18
C13207,2675.26
C01793,1521.55
C14474,1673.94
C04023,2444.26
C09662,4563.84
C09910,2071.24
C07819,1305.69
C12990,1865.98
C18717,2439.82
C14588,1512.07
C08919,1770.98
C13047,2761.17
C17269,1272.04
C06849,1900.85
C11363,2853.96
C18609,1489.51
C02183,1768.23
C07686,1614.67
C04518,1981.28
C03022,3397.75
C16462,1473.84
C03800,1701.41
C06283,2525.78
C18662,1247.47
C03053,1362.04
C19860,2055.54
C02841,2132.92
C16378,3223.55
C10127,1506.58
C19149,2186.28
C17142,2061.09
C14671,2118.35
C13307,2415.52
C12081,1404.71
C10702,1045.30
C08981,2384.71
C04780,2512.56
C10120,4181.45
C15706,1615.24
C13043,1848.61
C06301,1368.54
C00316,2839.20
C14444,2178.86
C11564,2126.67
C17399,3254.67
C00243,2624.61
C07163,3116.66
C08805,1690.26
C17668,3126.54
C04016,2127.21
C04257,2478.82
C11096,2974.34
C12391,1595.09
C15464,1717.88
C08673,1782.00
C17292,3023.62
C11689,1521.20
C08036,2132.82
C07365,1829.16
C03303,2742.22
C11975,1708.80
C05424,2146.73
C02239,3109.08
C06138,1621.47
C05513,1770.78
C18613,2248.10
C15142,1857.75
C11812,2194.06
C12400,2624.21
C02040,2577.35
C19961,1682.68
C15808,2107.83
C19853,2228.29
C01088,2147.47
C17045,2298.99
C09034,2318.94
C04049,2797.40
C12801,1880.40
C14043,2121.39
C12773,2052.44
C18048,1549.97
C07849,2431.61
C10922,2135.34
C06628,3101.77
C05536,2566.87
C12464,1579.85
C05368,2638.36
C11086,4452.65
C13377,630.67
C13477,1910.14
C00265,1290.49
C02234,2182.43
C14381,1435.16
C10611,2561.45
C10393,2216.77
C13990,1615.94
C11105,2804.85
C15796,2123.33
C10538,1520.48
C18640,2856.54
C16344,2664.66
C18693,2426.35
C04845,2353.40
C10442,2518.27
C17350,2541.86
C06491,1872.92
C00838,1275.92
C04435,3679.24
C17077,3616.20
C14170,1547.92
C10520,3459.08
C10425,3175.08
C10040,1322.03
C15310,2184.29
C17734,1755.15
C13678,1812.90
C10372,2505.65
C09935,2274.57
C13368,4894.96
C15597,2716.87
C19538,2884.64
C01634,1880.29
C04329,3446.99
C10873,1850.41
C02751,1739.34
C15330,3463.53
C04555,2798.86
C10954,1648.54
C12630,2914.36
C05871,1398.93
C18582,1464.61
C15990,1675.82
C12882,3306.73
C00643,1973.84
C13162,2000.47
C15941,2668.17
C08709,927.53
C13963,2952.93
C10698,2028.38
C19877,2163.65
C07264,2408.52
C02662,3062.27
C10349,4983.10
C17812,2182.92
C08750,2869.05
C08307,1384.60
C04745,2148.56
C19620,2125.29
C17801,3178.11
C04294,2870.43
C03965,1646.37
C12399,2564.23
C16846,2260.12
C03963,1565.37
C03337,1848.33
C02850,3040.09
C18211,1503.98
C19524,2015.81
C10042,2664.01
C06038,1656.03
C19568,2148.07
C10350,2022.40
C06834,1930.68
C17996,2428.53
C14185,2254.88
C00325,1275.06
C00919,1417.86
C17982,2242.71
C02015,1435.66
C00050,3055.80
C18797,3394.53
C15209,1215.67
C07514,2684.39
C18871,2865.67
C10147,2962.65
C14977,2065.63
C12412,4242.45
C11424,1716.45
C09632,1704.01
C11087,2229.33
C11760,1825.90
C14631,2022.64
C17820,3535.46
C03388,2176.81
C02494,2563.90
C13195,1964.80
C08914,2581.99
C03591,1482.49
C15106,2260.10
C01805,2400.88
C02651,2351.68
C17487,4494.37
C16023,2441.92
C12705,1737.08
C19121,1322.25
C09712,1238.16
C09535,3455.57
C17785,1849.81
C12589,2562.52
C11241,2699.73
C02974,2020.80
C02839,3608.88
C02266,3657.58
C05233,1751.30
C10057,3593.64
C07412,2052.95
C17686,2628.34
C03839,2742.05
C16147,2303.40
C09065,860.91
C03710,2315.41
C09532,1028.12
C19376,2370.33
C18456,2557.02
C08501,2295.58
C08085,1553.99
C03673,2327.09
C05662,2928.67
C09414,2730.31
C19071,2353.64
C19231,732.23
C07265,1825.54
C18877,1921.31
C11013,3424.68
C07197,1792.92
C17126,1687.89
C07080,2351.19
C03713,2340.17
C16684,2359.20
C09060,1890.31
C18318,2219.13
C16316,1747.49
C19092,1621.22
C07182,2003.21
C00102,2127.36
C07930,2303.94
C17299,2727.43
C16877,2517.57
C10392,3757.40
C02002,3180.08
C12789,1990.99
C16192,2553.44
C19912,3391.09
C18418,3413.21
C16013,2294.08
C12941,2397.22
C03740,1590.05
C02191,1857.96
C19834,2280.94
C04964,1231.02
C15759,2416.49
C12436,2433.42
C00079,2200.11
C04101,1048.12
C16977,2673.30
C15323,3820.98
C04650,3416.65
C02404,1548.89
C16539,2749.90
C17329,2073.31
C17610,3049.42
C15038,2536.96
C00571,2506.52
C00684,4656.14
C10193,1815.58
C19613,2840.87
C05022,3255.58
C13102,1202.25
C09826,1708.00
C05987,118.63
C00240,3200.04
C09992,1837.19
C07909,2485.06
C01196,1924.50
C05229,1422.32
C06784,3255.95
C18969,1658.48
C18052,2518.41
C18486,2974.78
C06569,1703.77
C11296,2993.51
C07958,2833.78
C12775,1857.94
C04654,1840.59
C01303,3447.17
C18507,2340.06
C05292,2715.47
C17036,3364.21
C13533,1249.12
C12340,2263.49
C01408,2063.67
C18897,2393.31
C10870,1708.11
C14961,1657.04
C11946,2756.57
C06424,3678.85
C09549,2178.38
C00779,4248.38
C12455,2479.79
C00530,2087.68
C07764,1929.68
C17839,1501.86
C18212,2941.19
C17603,1498.99
C14373,1489.60
C13048,868.42
C02098,2488.95
C04824,5623.29
C12969,1417.85
C10296,3301.81
C09713,1789.83
C08535,1416.96
C01649,1608.68
C19343,2479.27
C04978,2046.25
C02744,4295.97
C01342,3191.86
C07844,928.13
C15857,2961.19
C00841,3602.52
C00917,2537.40
C10221,2732.05
C13156,2206.58
C19206,2618.81
C18271,2557.69
C12993,2662.43
C15701,2756.17
C18723,2392.92
C08092,1836.45
C17544,1722.81
C11422,2707.49
C16556,2163.03
C02019,2212.58
C18327,1384.64
C17274,2672.75
C18905,1327.41
C05865,2340.52
C10012,1414.79
C17942,2835.81
C00093,1771.37
C18760,2043.03
C06633,2529.96
C07018,2657.57
C02964,2903.49
C00600,2278.93
C13665,1758.71
C06687,2190.39
C17410,1696.89
C06146,1385.23
C06353,2069.66
C19227,2165.86
C07569,2870.53
C04673,2138.24
C15866,3037.24
C14089,2537.93
C09770,2102.11
C05089,2474.08
C10726,1710.27
C14614,2235.05
C08903,1620.54
C18061,842.52
C19823,2181.34
C05440,2184.10
C08474,2853.87
C05454,2970.18
C19638,2818.36
C02824,3143.55
C15874,3149.19
C04033,2016.39
C05664,1190.06
C18680,1667.64
C01984,2371.57
C03855,1907.17
C15669,2277.28
C10590,2966.34
C18273,2556.85
C18641,2596.77
C08894,1306.13
C13658,2597.94
C05204,3307.91
C13555,2728.69
C04147,646.60
C11489,2293.94
C01072,1230.76
C15963,1088.15
C02184,3144.63
C03636,1947.23
C00210,2282.75
C03671,2313.12
C05212,1919.98
C04933,1468.03
C19259,2355.35
C07974,3147.45
C17815,2087.69
C11545,1966.47
C14302,2291.37
C07428,2132.07
C02856,1818.36
C07303,1888.35
C15533,2392.77
C04013,1842.19
C14637,1956.11
C15850,2696.71
C19184,2584.33
C06211,3384.74
C13316,2122.68
C00364,936.69
C17747,3237.26
C00948,1882.68
C17748,2542.72
C06721,2025.91
C11710,2956.56
C12856,2569.02
C06624,2364.20
C01717,2900.07
C05844,1466.31
C03627,1048.02
C02364,2244.98
C18924,1450.89
C05495,2863.30
C00697,3556.31
C19404,1104.96
C11031,3023.83
C05475,2647.96
C19451,2124.00
C18074,2234.36
C10560,3024.75
C01728,1546.58
C18310,2145.45
C10892,2678.39
C17854,1857.65
C03087,1809.64
C09565,2347.91
C14989,2891.71
C09109,1940.49
C10742,2014.51
C08401,2954.98
C05856,2971.35
C02346,3334.65
C15732,2247.09
C04647,3108.77
C06431,2451.21
C14148,2370.79
C11323,2414.01
C09203,2244.77
C04465,1197.06
C17280,1338.96
C08467,3145.29
C17800,2108.26
C07032,1781.09
C11504,668.02
C15550,517.07
C12025,1121.74
C10771,1971.37
C10108,1947.40
C07098,3577.43
C10984,2812.92
C12859,3344.01
C18483,2464.81
C00947,3086.27
C18115,3102.96
C19478,2340.07
C14528,1092.48
C14496,2386.44
C15472,2867.19
C02951,2724.58
C17225,2101.10
C05642,4120.15
C19471,1730.20
C01968,1756.25
C16938,1383.91
C09394,2701.40
C18182,1709.17
C04783,1339.27
C09241,3353.54
C08873,2507.48
C16366,1667.25
C16020,2958.41
C10559,2678.46
C17993,2051.99
C00214,1071.46
C02718,2348.54
C09152,2323.36
C06291,2177.95
C12389,2142.77
C07209,2736.45
C19163,1180.86
C04522,4015.12
C13310,702.13
C02995,1179.80
C09457,978.57
C00258,1441.23
C09571,2992.11
C18184,2163.73
C13859,2408.26
C02212,2755.50
C13269,2334.48
C08126,2133.67
C16187,2871.34
C15936,1253.46
C12414,2463.81
C00113,3676.88
C19016,2960.12
C06900,951.04
C06652,2722.26
C05081,1177.07
C11212,2435.62
C10666,1622.45
C02523,1696.24
C13447,1790.11
C04579,2663.20
C00188,1073.83
C06820,1561.61
C12985,2136.97
C07496,2972.27
C10270,2258.34
C05743,2758.41
C03338,3564.17
C00374,1654.33
C10550,963.24
C11245,3107.92
C14857,3657.57
C11220,1391.45
C02952,2615.87
C09561,2038.01
C03920,1708.78
C17612,2500.91
C03059,1997.02
C00490,2293.86
C18807,1744.60
C13875,2155.01
C13941,2189.79
C15321,3023.71
C11198,2408.35
C03666,2061.56
C18832,2103.82
C12082,2784.86
C05459,1665.95
C10220,1671.73
C01290,941.32
C05404,1668.62
C03346,3586.91
C06621,2621.11
C07682,1682.77
C12996,2894.26
C15885,3059.42
C05768,1897.39
C00899,1869.13
C14611,3057.71
C02273,2585.92
C00931,2094.19
C09800,2209.13
C18542,2267.04
C07539,2730.77
C17947,2124.30
C00192,2037.69
C07177,2186.62
C16832,1598.15
C19825,2766.72
C07308,1921.91
C19393,2228.20
C09217,1816.37
C01416,2775.40
C17284,3070.62
C01832,2852.80
C07258,3381.84
C00682,3741.74
C00382,962.04
C15623,1180.62
C01414,3912.61
C16133,3050.12
C17878,3002.71
C13340,1734.01
C02562,1843.22
C18745,3089.18
C10655,1954.15
C02820,2497.65
C13579,1170.67
C11398,2970.59
C04554,3381.76
C05442,752.58
C10034,784.37
C12518,1721.61
C01274,4818.61
C13850,1235.89
C01922,854.38
C05778,3371.75
C19505,2797.73
C13454,1406.46
C03060,2215.89
C14449,1716.74
C01459,2303.63
C19887,2951.55
C07567,2475.23
C07324,1236.41
C11149,3423.38
C13301,2898.69
C02321,292.81
C05322,2544.51
C13554,2060.58
C03359,2218.73
C03511,2052.07
C18709,2227.50
C11745,2723.13
C05026,1560.03
C13944,1719.97
C04905,4048.27
C09435,1736.41
C06688,2583.75
C17713,2297.18
C03718,4408.76
C03494,2397.87
C04630,2005.19
C08405,1785.36
C14617,2395.59
C19849,2984.60
C05271,2152.45
C11925,2416.11
C13742,2161.52
C04640,2393.97
C16600,1736.43
C04917,2780.17
C04176,1520.80
C01640,1696.90
C08063,2078.60
C11339,421.90
C05220,1706.88
C03561,1513.77
C10167,1812.95
C08203,1622.35
C13640,2453.53
C01775,1287.58
C10417,2817.60
C02305,1814.69
C13142,2985.20
C14117,3019.64
C14463,1085.44
C09495,1828.74
C06224,2831.82
C19874,2455.42
C09426,4351.35
C18097,1611.74
C00009,1279.67
C00348,1955.56
C18330,2019.16
